id,text,polarization
arb_a4ef3a54fa9c05f1289fdcba76b33ae5,طيب ما تفتحيها بورنو ياباراديس أمريكا مفتوحه على البحري و+ في مخرجين هناك في أمريكا هيريحوكي,1
arb_6a84c764af063ba50e39051ca9542bc9,قابضين ع برديس و سايبين هيفا العاهرة و مايا دياب و غيرها ناس شراميط,1
arb_85999888f258ce02bff269ea13d3f5b8,البقرة أحلام هيأ كانت بقره بس أريد أفهم اشسواها ملكه أحلام البقرة ههههه,1
arb_818710ba72c1279af8c81af89ca528ae,النظام خبيث يصنع يوسخ يلطخ أهل السنة الإسلام ينما غافل عما يفعل الظالمون,1
arb_79396d120b890ff4b4b170d68a877868,اسمك يهودي ولد القحبة اليهودي يشرفك مسلم إرهابي داعشي,1
arb_aa283f67057d6592d3dd2ac065b54304,تربحهم دخلوها البلاد حيط مزال بالله ميصليش يسكر ظد الشي معجبهمش القرآن يجيبو أحكام,1
arb_7977bec0bb15daff6bc288d96949f4a9,يجب يكونوا نعالا ل+ إيران روافض يقتلون السنة أفريقيا أ+ ليس,1
arb_7e25fdd6efb71a71c9360919ad3954f9,زمان الفتن اللهم أقضي أعداء الدين ربي دنيا دوم ل+ حد ل+ فلوس تقعدش عمركم تتقدمو بلاد عملاء ل+ صهاينة,1
arb_c6624a336451a60339b9743beae7ba8a,صحيح ليسوا ب+ شر يجب وضعهم السرك المزابل التخلص أنهم الكلاب المسعورة,1
arb_c89b2b27c4dfb87137e12d5066a9c697,تجوع الثعلب التونسية تتحول أنثى العنكبوت تقتل زوجها ب+ مجرد الانتهاء عملية التزاوج ليله الدخلة ههههههه,1
arb_62b825c073d7768ade5d0868a6ebecbc,ههههههههه يتونسي يكذاب يبلاد الفقر و+ شحاتين حني لليبين بلادنا حرب و+ أحسن ب+ مليون مرة موجود ماعندكم ربعه,1
arb_3f2a9d45d7c568fc25e5f7dde1e5a8ec,يهبط الوباء المرض سبسي بشري حكام تونس فردا فردا يزلزلها أقدامكم,1
arb_5cfe3ddf64b398f347db7a8bda625ccc,إخوتي التونسيين كنتم تريدو يحل عنكم البلاء ف+ عليكم ب+ من يحارب الشريعة الإسلامية بلادكم,1
arb_db5935d31569e45d0afde8695089b8ef,ألهم أنصر المجاهدين الخروج الحاكم شرعي يجوز الحكام العرب ل+ يسو شرعيين و+ بارك هدآ شاب مشاء علبه,1
arb_4ceff5af3bf2598b61b5bb314b7bac18,تونس لديها إعلام يد الشيوعيين والحداثيين ل+ ذالك تستطيع تعرف قلى ب+ ربك الكفار ينشرون الحق,1
arb_2f46700394337a0ad442288c509e39e4,أولا تونس بلد مثقف بلد المليون قحبة و+ السقاطة و+ العاهرة و+ القذارة و+ النجاسة عاهره,1
arb_e92569e48b3631fa868d705b07412fbd,مءامرة عالميه الدين ب+ رعاية أمريكا اسراءيل الشعب مسلم يستسلم ربي ينصرنا الحرب,1
arb_63c6d8452b9944972a83b18e338d8df1,حسبي الوكيل طفله طفل تونسيه المساوات يجي نهار ربي يعرف شيعمل كلاب زايد آبهم شعب هوما التوانسة و+ الله,1
arb_a9264906a62e59690ebceec9b9ac9696,موسيو حبس هههههههههههههه العلمانية اليهوذية قتلت الروح التونسية الطريق الجزاءر,1
arb_1dbb9442d7aa7081f77e5a9127526ee4,هههههههههه الفيديو استنتجت الشعب التونسي أغبى شعب العالم النساء الرجال ڨاااااااع حمير ب+ عزيز تفوو ك+ فار زبيييي,1
arb_0982122cb5a0421af04fb24a5dba3750,نقبلوا الجزاءري و+ المغربي تونس السود الأفارقة ف+ غير مرحب جراثيم فتاكه,1
arb_7cf8b3649d80bd5a822c25f450dd6680,خويا الساحلية و+ ل+ إد قحبة يفطرو رمضان مهمش الرجال جماعك الجنوب خاطينا ب+ رجالنا,1
arb_5cfd043bea3847137561cae360598b64,رسولك إرهابي يزبي توجد تاريخيا محمد الرسول الوحيد ف+ بركة ماهوش موجود اذاكة عندو قبر صورة,1
arb_ee9bc76a6028463ed1755a79c73d4bc2,الحق الرييس التونسي الحق الشباب التونسي يحملو السلاح إعلان الجهاد قتل الكفار,1
arb_cf759ed5a7a64908d0e14c99b6fecaa8,بعران الخليج غنم أمريكا سبب بليه العرب خلو تونسي جزايري مغربي مصري,1
arb_5ce632d936375dbc64ed86cc7507d9ce,لعنة الشعب التونسي الساكت والخانس لعنكم,1
arb_5e97df697832abb0d07fd85d525b43a6,بلدك تونسي علماني ملحدي يحتاج فتح إسلامي جديد الأباضية جزيرة جربه و+ غيرهم الصالحين تفوووو كافر,1
arb_0949431d952d22e77d74571665afd20b,الحق وهجمو الداعرات العاهرات التونسيات لوثو الخليج مقززات يشتغلون ب+ الدعارة ارحلو لانريد تونسيات ب+ الخليج الكرامة,1
arb_fa23fd6052db918b30903492caba6369,بعل أمون رد بالك توصل الليبيات ياتونسي يابغل,1
arb_e2c780736878dcb9fdd8b453b4360da7,لطيف لطيف ربي لطف وصالنالو يحرقكم نار جهنم,1
arb_b5788731ad6f2dd555c8d1903d951d61,خويا هذو المخنثين يتهز العرش العالي و+ ملعونين و+ أكثر قوم هذبهم بداية الخلق القيامة قوم لوط السلام االله ينظف الأرض,1
arb_5134aff5e639ba63948b404d58ccddd5,شعب جاهل و+ متخلف يحب الخير ل+ أمة و+ أخته دين ذكوري و+ احتقار المرأة تسعى و+ تشتغل مثلها الرجل,1
arb_ea34e1a1f62b75048688909ba9e6d77e,ف+ يصل خالد أحسن بردت قلبي ليبيه و+ أكره تونس بلد الدعارة و+ بلد الإرهاب تحيا الإمارات تحيا الإمارات العربية,1
arb_ed446aed32ffdc7a0fb7342ec85881e5,يحق ل+ أي ولد قحبة خارج تونس يسمعنا رايو,1
arb_b0eae8c80e7d7b63e828ef5feccc717d,الفيديو أكبر دليل و+ ب+ رهان كفر الدساتير الوضعية دستورنا القرآن يلتزم يطبق الحد غصبا الحكومة الملحدة,1
arb_3cd8ac041f86c40c90b6b406dad8001d,يستاهلو شعب طحان جيعان اللهفة ميغلو ميزيدو يشرو سيب تأكدت تونس شعب,1
arb_c277940ba8958c556d3fe3993b8b7976,ربي س+ أفيك غالط سفيك دين الإسلام غالط بلاد تونس بلاد ديوثين,1
arb_e5fdb3677a6574026d1f31fdc4376efc,شعب جاهل و+ حكام فاسقين كلاب أمريكي و+ الصهاينة,1
arb_71cc70fdd6c82a272f4109df6e92f19c,الحمد لله مجيتش تونسي أقسم بالله حيروني,1
arb_b00d3e7bf597ad6153c0608604ec91f7,نقبل ب+ المغربي والجزاءري و+ الليبي تونس السود الأفارقة ف+ غير مرحب جراثيم فتاكه و+ يجب القضاء دول المغرب العربي,1
arb_948c3d53aaca14f45105d4a46853149c,شعب جاهل الدين حسبنا و+ نعم الوكيل الرءيس التونسي هنشوف,1
arb_8309af05e8c10ad5ee0fa76bfc2a090f,ب+ لي نقلعو الصوم اعلمو جهلاء ملحدين المسيحيين اليهود يصومو الأوربيين يصومون الصوم مليح ل+ لصحة,1
arb_af434bc6574c8894c9698420911f00b2,المخنثين الجزاءر ولاية تلمسان المخنثين يفتحوا ترمهم هههههههه,1
arb_03eb89f8ca0b673511c6fbdf09986a20,التوانسة المتخلفين جرأة يعملوا استطلاعات رأى موضوع مجرد النقاش و+ التشكيك كفر أكبر مخرج الملة,1
arb_1b3b9f66eaa5f2c6c5f514db837b0207,سيدي القحبة أمك مصري كس أمك جزاءرية غبي القحب ك+ سمك لغتكم سب سب,1
arb_cedbcb9a9b86a4a67110f3b5379ea367,أنبح كلب الملاحدة يمشى معكم السيف,1
arb_4eb59fa2b6488941b9f875c7f2432dd1,خلك الاحترام والضعافه اليهود ك+ مسلم أكون جبان ل+ يهودي,1
arb_b3efbcc1c2af40206a0abbfd67194792,هههههه صح لسانك تونس شراميط صغير كبير لعن أخوان الشياطين,1
arb_f8b51e251bab0a2aa33327f563a5d2d9,المواطنون المواطنات متساوون الحقوق الواجبات أنتهي الدين الإسلامي يعرفوه الفلوس النيك شعب منافق,1
arb_e2fd085ecd7f1658492554455224a178,رجال تونس اعطيوتو المرأة حقها أصبحت تتطاول أخ الجزاءر,1
arb_aa2dd436929b78023b97a27f566aac9d,زب تونسي خرم طيزك طيز ليبيا العراق قحبة,1
arb_c4e6e5a6bba979c0dcb0dd3489dd9f26,اللهم سلط عذابك شعب يستأهل الحرق,1
arb_24a9ac4c643032aaac19019e3292fb2f,هيدي عتريس مش برديس....فتشو منيح رح يطلع عندها قضيب,1
arb_e6958e9f7399d8cdf8dd336ed8b18470,الاعتذار العلنيتي قلتلكم يولدي رهي تونس تبيع أنسها رجالها هههههه و+ ب+ المناسبة هدي نقترح تغير اسم الدولة تونسيه دولت بول و+ تعده ههههه,1
arb_c3621a862071b9615453547dbfa636ec,يسدد شباب الأمة يبدد تضليل الطواغيت,1
arb_153d0023b3f0ef8a52dceea0de97f427,إنسانه حيوانه كلبه ف+ لوس آخرتها جهنم أن شاء الله 😠👎👎👎,1
arb_f1b55323d91781eea379b35b2c141640,الفيديو عنها قمة الاحترام معروف ل+ أنها عاهره لو شافت فيلم جنسي تقولنا هو قمة الاحترام و الأدب,1
arb_ecc5b17185cb6d493ee27669d5531ba6,الجسم صدره حليب ديود كس مص و+ ردي نقب مفتوح,1
arb_bab39dac3ffd05896784e47e32cce4dc,هيفاء وبرديس و+ مروه وفيفي عبده و+ سما المصري و+ غيرها شويه عاهرات وانشالله كلهم ف+ نار جهنم ل+ لأبد حسبي الله و+ نعم الوكيل فيهم,1
arb_7591691d2f286710b7ef8d9f30d95942,أنتي عايزه سرير و+ يكون معاكي ٤ رجاله يفرتكو كس أمك نيك..انتي تمامك كده,1
arb_43aa7e8df00c11d0d4a6220c6c8fcd3b,اللي يتكلم و+ يرفع صوته على البنت ابونظارات جزمتها فوق رأسك ياابن الحرام,1
