id,text,polarization,dialect_code,dialect_name,translated_text
eng_b575d9f329e7218d383cbb5b57c86c8b,"""Remember that the frontier of the rebellion is EVERYWHERE and even the smallest act of insurrection pushes our lines forward."" Karis Nemik, Andor",0,ar,Standard Arabic,تذكّر أن حدود التمرّد في كل مكان، وحتى أصغر فعل تمرد يدفع خطوطنا إلى الأمام. كاريس نيميك، أندور
eng_e635bb7c1cfdf866cd928cf2e2a896fe,"""Saved Ukraine FOR NATO expansion"" you mean. Right?",0,ary,Maghrebi Arabic,"""قُلت: «أنقذت أوكرانيا لتوسيع حلف الناتو»، صح؟"""
eng_393b1271c37b5f68ce43a7a44de16800,"""Talks to reach a Gaza ceasefire and hostage release deal between Israel and Hamas are 90 complete, but key issues remain that need to be bridged, a senior Palestinian official involved in the talks told the BBC."" worldrss.bsky.social @URL",0,ars,Najdi Arabic,المحادثات اللي تهدف لاتفاق وقف إطلاق نار في غزة وإطلاق سراح الرهائن بين إسرائيل وحماس وصلت 90٪، لكن لا زال فيه قضايا رئيسية بحاجة للتسوية، قالها مسؤول فلسطيني كبير مشارك بالمحادثات لبي بي سي. worldrss.bsky.social @URL
eng_f9fb8e5f6a6d52db2ce1a8dab313d656,"""This is another argument, if any were needed, for even stricter sanctions on the Russian economy and even more support for Ukraine in resisting Russian aggression."" .bsky.social wapo.st3ZTLs95",0,arz,Egyptian Arabic,ده حجة تانية، لو كانت محتاجة أصلاً، لفرض عقوبات أشد على الاقتصاد الروسي ولتقديم دعم أكبر لأوكرانيا في مقاومة العدوان الروسي. .bsky.social wapo.st3ZTLs95
eng_7fbd07aa5d98d181ffc5d6c9870de466,"""Well said. Multiculturalism enriches societies, and figures like Farage thrive on fear and misinformation. Heres to calling out divisiveness and celebrating diversity instead.""",0,arz,Egyptian Arabic,كلام موزون. التعددية الثقافية بتغني المجتمعات، والناس زي فاراج بتستغل الخوف والمعلومات المغلوطة. يلا نشهر بالفرقة ونحتفل بالتنوع بدل كده.
eng_3b09558d9e977c4c958c8d175e3cc121,1 million Ukrainian refugees would be 7.3 million US refugees adjusting for population,0,arz,Egyptian Arabic,مليون لاجئ أوكراني يعادل 7.3 مليون لاجئ أمريكي بعد تعديل النسبة بالنسبة للسكان
eng_d7d39ad4bdca60b8d467298169f61b8b,1 of 3 Republicans on Stamford 40member Board of Reps,0,arz,Egyptian Arabic,واحد من كل تلاتة جمهوريين في مجلس نواب ستامفورد المكوَّن من 40 عضو
eng_fb72eabaced73718385b5f2dc94fe878,100 of Palestinians in Gaza and 95 of Palestinians in the West Bank live under Palestinian law.,0,apc,North Levantine Arabic,١٠٠٪ من الفلسطينيين بغزة و٩٥٪ من الفلسطينيين بالضفة الغربية عايشين تحت القانون الفلسطيني.
eng_1d9699487ebdef6f80f1587de026c5d0,"100 Years Later, Zeev Jabotinskys Hawkish Zionism",0,apc,North Levantine Arabic,بعد مية سنة، الصهيونية الصقورية تبع زيف يابوتينسكي
eng_03a78ff33d4f1c401546225f97e7a889,12 Source CNN Source CNN Business Source CNN Business Source CNN Business Source CNN Business,0,arz,Egyptian Arabic,12 المصدر سي إن إن المصدر سي إن إن بيزنس المصدر سي إن إن بيزنس المصدر سي إن إن بيزنس المصدر سي إن إن بيزنس
eng_362fe7b3e30c558ef644b10c87b46dbe,15 candidates file for spot on GOP primary ballot in MarchThe Lufkin Daily,0,afb,Gulf Arabic,15 مرشّح يتقدّمون بطلب علشان مكان على بطاقة الانتخابات التمهيدية للجمهوريين في مارس — صحيفة لوفكن ديلي
eng_75ff276cd82977b8b0c6c462b85f84f0,17 political cartoons tackle Donald Trumps,0,arz,Egyptian Arabic,17 كاريكاتير سياسي بيتناول دونالد ترامب
eng_858f929d068790655cc585965a87f5aa,1SS There would be no Gaza and the West Bank.,0,arz,Egyptian Arabic,مش هتبقى فيه غزة ولا الضفة الغربية.
eng_54d8ee27d2e0369a3d750a074824e166,2 IOF soldiers were wounded after Palestinians threw an IED at their Jeep in the West Bank,0,apc,North Levantine Arabic,أصيب جنديين من قوات الاحتلال بجروح بعدما رمى فلسطينيون عبوة ناسفة على جيبهم بالضفة الغربية
eng_c21ee35c53613feb2a574c9ed41091f0,"2020 elections by the swing states, Big Tech, CNN, MSNBC, CBS, Wikipedia, YouTube. And part 2 will be on midterms.",0,apc,North Levantine Arabic,انتخابات 2020 حسب الولايات المتأرجحة، شركات التكنولوجيا الكبيرة، CNN، MSNBC، CBS، ويكيبيديا، يوتيوب. والجزء الثاني رح يكون عن الانتخابات النصفية.
eng_51c468a8fb151dba1b31ebbefa786e16,25 OF Ukraine territory and 80 of Ukraine wealthproducing sector is that enough? And for a bonus denazification!!!,0,acw,Hejazi Arabic,25٪ من أراضي أوكرانيا و80٪ من قطاع الثروة في أوكرانيا — هل هذا كفاية؟ وبونص: إزالة النازية!!!
eng_790e19914ae0900675fc9d41747b4a37,3 Ohio Republicans accuse shared campaign treasurer,0,arz,Egyptian Arabic,3 جمهوريات من أوهايو بتتهم أمين صندوق حملة مشترك
eng_a9f5277ef85506404cedd912e1e595e4,"4 Dems, 2 Republicans Luzerne County Council seatsTimes Leader",0,apc,North Levantine Arabic,4 ديموقراطيين، 2 جمهوريين مقاعد مجلس مقاطعة لوزيرن - تايمز ليدر
eng_2ca265e5fb6608d566317413ebc3358e,47th District Republicans kicked out of Kent Cornucopia,0,afb,Gulf Arabic,أعضاء حزب الجمهوريين بدائرة 47 تم طردهم من قرن الوفرة في كينت
eng_69ebe50510087fb8c06cd12283a88ef8,5 takeaways on Republicans first impeachment hearing,0,ar,Standard Arabic,خمس نتائج رئيسية من جلسة الاستماع الأولى للمحافظين الجمهوريين بشأن العزل
eng_5fbfaf5f0f4a609ae81fc3ef4239a89b,91. Salaar Part 1 Ceasefire 2023.,0,afb,Gulf Arabic,٩١. سالار الجزء الأول الهدنة ٢٠٢٣
eng_b61ca2c5ba572ca577ba37dbd018cfb4,A chorus of Democrats was asked to sing the praises,0,arz,Egyptian Arabic,طقم من الديمقراطيين اتطلب منهم يغنوا المديح
eng_8b72d45c04d66d8e3579ad5b2b3b007e,A CNN journalist pronounced DOGE douche,0,ar,Standard Arabic,أعلن صحفي في شبكة سي إن إن أن دوج كان أحمقًا
eng_4c6406de7d07725e32413ea4c76e1c25,"A Disturbing Amount of Democrats, Young People Want",0,ary,Maghrebi Arabic,عدد مزعج من الديمقراطيين والشباب يريدون
eng_6b20c71143b2034495dcd46005fec2fd,A federal election fraud felony conviction!,0,ary,Maghrebi Arabic,إدانة بجناية تزوير في انتخابات فيدرالية!
eng_8beb411500359d7494c7de90627163ca,A look at day one of Texas AG Ken Paxtons impeachment,0,acw,Hejazi Arabic,نظرة على اليوم الأول من اتهام المدعي العام بتكساس كين باكستون
eng_f8b182bafc194480fe0998f3d8b73681,A loss of humanity in discussing Hamas,0,arz,Egyptian Arabic,فقدان للإنسانية في مناقشة حماس
eng_08955748de6580e14d14d5c42bca5bd5,A Marketing company out of San Diego is currently hiring freelance writers to come up with the next online conspiracy theory. This is the world we live in. @URL,0,ar,Standard Arabic,توظف شركة تسويق من سان دييغو حالياً كتّاباً مستقلين لاختراع نظرية مؤامرة جديدة على الإنترنت. هذا هو العالم الذي نعيش فيه. @URL
eng_9fd197da2fe29b7c0101c5eaa26c88ae,A Salute to Service: Christian County Honors Veterans,0,acm,Iraqi Arabic,تحية للخدمة: مقاطعة كريستيان تكرم المحاربين القدامى
eng_815f9cb20279dce792271456d7ec2639,"A story of genocide, colonization, greed and deforestationThe Circle",0,apc,North Levantine Arabic,"قصة إبادة جماعية، استعمار، جشع وإزالة غابات
الدائرة"
eng_4e0a716ea0b0939693a374ac5513241c,"A TV News Reporter on IsraelHamas Fog of War, Truth",0,ar,Standard Arabic,مراسل أخبار تلفزيوني عن ضباب الحرب بين إسرائيل وحماس، والحقيقة
eng_540b6bca7b27467b180fab8291f62d9b,"A victory for voting rights in Wisconsin! Yesterday, the Wisconsin Supreme Court decided to preserve the ability of cities to designate inperson absentee voting sites and to use a mobile voting van. StateCourtsMatter @URL",0,apc,North Levantine Arabic,انتصار لحق الاقتراع بولاية ويسكونسن! مبارح، محكمة ويسكونسن العليا قررت تحافظ على قدرة المدن تعيّن مواقع اقتراع غيابي حضوري وتستخدم سيارة اقتراع متنقلة. StateCourtsMatter @URL
eng_4eafac5b4a1349ab4335da3d295b6669,A week ago Ukraine invasion was fear mongering too,0,ar,Standard Arabic,قبل أسبوع كان غزو أوكرانيا مثيراً للرعب أيضاً
eng_29885d0f5f0eedae05761f0d49ba1509,A Week of Good and Bad News for Joe BidenThe New Yorker,0,ary,Maghrebi Arabic,أسبوع فيه أخبار زوينة ومرة لجو بايدن — ذي نيويوركر
eng_c424b21ebcb2ebf0f2c19cc4b750b756,A West Bank Pizza Restaurant Mocked Holocaust Survivor,0,arz,Egyptian Arabic,مطعم بيتزا في الضفة الغربية سخر من ناجية من المحرقة
eng_4fd1d113e76cc21ca72ea3af8dc2af41,A West Bank Pizza Restaurant Mocked Holocaust Survivor Taken,0,acm,Iraqi Arabic,مطعم بيتزا بالضفة سخر من ناجي من المحرقة وتم أخذه
eng_f526e8524558275611c5f49ac0b5d600,A.S. Senate passes bill condemning Hamas,0,arz,Egyptian Arabic,مجلس الشيوخ الأمريكي يقر مشروع قانون يدين حماس
eng_e8215970e38301040ee21a41a868a441,Absolutely no evidence of voter fraud Democrats,0,apc,North Levantine Arabic,ما في أي دليل على تزوير الأصوات من الديمقراطيين
eng_19474c4acabb5fe06997b6253ed3644e,Abuse survivor recounts her struggles at YWCA,0,apd,Sudanese Arabic,ناجية من العنف بتحكي عن صراعاتها في جمعية شباب نساء المسيحية (YWCA)
eng_2a3c1319e3e0cab25cc007a71f91081d,ACNUR Costa Rica Factsheet Diciembre 2024 Refugees,0,arz,Egyptian Arabic,ورقة معلومات المفوضية السامية لشؤون اللاجئين في كوستاريكا ديسمبر 2024 اللاجئون
eng_5c530aae72e9310aabd35e57a0841478,Activists call for Rep. Caraveos of immigration,0,ary,Maghrebi Arabic,النشطاء يطالبوا بنائب كارافيوس بخصوص الهجرة
eng_86b7a90cd3aca3150911560ca96a5ad7,"Add Breitbart, OAN, and Newsmax to that list.",0,acw,Hejazi Arabic,أضِف برايتبارت وOAN ونیوزماكس لِهالقائمة.
eng_f359a96e95b06faf717f84c0476fc658,Admission to election interference it seems.,0,ary,Maghrebi Arabic,الاعتراف بالتدخل في الانتخابات على ما يبدو.
eng_8c5e4defb26d9cb29c9a7cfbfe56265f,"Advance voting begins in Ontario today. You dont need your voter registrationinformation card to vote, just ID with your name and address. Lets gooooo",0,ayn,Yemeni Arabic,الاقتراع المسبق يبدأ اليوم في أونتاريو. ما تحتاجش بطاقة تسجيل الناخب علشان تصوت، بس هويتك اللي فيها اسمك وعنوانك. يلااااا؟
eng_73b6ecd8f2931a72417b73ca8705dc91,Advice for Vegans by a Vegan,0,afb,Gulf Arabic,نصايح للنباتيين من نباتي
eng_249ecd6c8af22df3368bef93bfbb66f4,Africas Economics and Its Take On the IsraeliPalestinian,0,ary,Maghrebi Arabic,اقتصاد إفريقيا ونظرتها للصراع الإسرائيلي– الفلسطيني
eng_c916c148d21a7692fadbcdb51d983d45,"After election defeats, Butler County GOP leader pleads",0,ar,Standard Arabic,بعد هزائم انتخابية، زعيم الحزب الجمهوري في مقاطعة بتلر يناشد
eng_6830f6ee4887cac1df0c0ac419e2dd26,"After Georgia indictments, Young tells Republicans to not",0,arz,Egyptian Arabic,بعد الاتهامات في جورجيا، يانغ بيقوِّل للجمهوريين ما يعملوش
eng_4fb480b41649ab20051ed9e4c3ce6fd2,"After Hamas assault, Israel attacking innocent Palestinians",0,ar,Standard Arabic,بعد هجوم حماس، إسرائيل تهاجم فلسطينيين أبرياء
eng_a535ba9e85cf3e55fb9896df59453502,"After hostage killings, can IsraelHamas ceasefire talks be revived?",0,apc,North Levantine Arabic,بعد قتل الرهائن، في مجال لإحياء محادثات وقف إطلاق النار بين إسرائيل وحماس؟
eng_78d4834b3fe344d2718e086c4879fae4,"After Mayotte, Cyclone Chido hits Mozambique Refugees",0,apc,North Levantine Arabic,بعد مايوت، الإعصار تشيد يضرب اللاجئين في موزمبيق
eng_c372554fd14c43e8356d973c660f3ed4,"After navigating immigration system, JaeRam Lee of Grand",0,arz,Egyptian Arabic,بعد ما عدّى نظام الهجرة، جايرام لي من جراند
eng_505d9a827620bb3d4e186479996d80b1,"After recount, writein Liam Watson wins Blacksburg Town",0,ars,Najdi Arabic,بعد إعادة الفرز، رايوف لياّم واتسون يفوز ببلدة بلاكسبرغ
eng_6a0a35bd683ba644a57484c5eac2440d,"Again, Israel is NOT the Jewish state. It is the ISRAELI state. It is the state for all Israelis, Jew, Palestinian, Arab, Druze, whatever.",0,apc,North Levantine Arabic,مرة تانية، إسرائيل مو الدولة اليهودية. هي الدولة الإسرائيلية. هي دولة لكل الإسرائيليين — يهود، فلسطينيين، عرب، دروز، مهما كان.
eng_adcdf4b984816ef598da38e7e904df32,Age is a sore spot for Joe Biden. Heres why Bernie,0,arz,Egyptian Arabic,العمر نقطة حساسة لجو بايدن. وده ليه بيرني.
eng_eb52fbb125db51b0f04672a3a7a299ad,Agreed. I refuse to watch Jennings on CNN.,0,apd,Sudanese Arabic,متفق. برفض أتفرج على جينينغز في سي إن إن.
eng_48d4067f74283ce8d87f60406bc545ef,"Ahh gotcha, I thought you meant during early voting.",0,arz,Egyptian Arabic,آَه فاهم، كنت فاكرّك بتقصد أثناء التصويت المبكر.
eng_cf15953243ab745a61ff74478eb29255,Albanians are neither refugees or asylum seekers,0,acw,Hejazi Arabic,الألبان مو لا لاجئين ولا طالبي لجوء
eng_da9573f09bfb6fc89aaee46d08c86916,"All across America, the success of Bidenomics is well",0,ar,Standard Arabic,في جميع أنحاء أمريكا، نجاح سياسة بايدنومكس واضح جدًا
eng_4b0f94e8114dea01d392718b9155ffca,All in the Family: Sheriff's Son Is New DPS Officer,0,ary,Maghrebi Arabic,الكل في العائلة: ابن الشريف ولى ضابط جديد فـDPS
eng_fdc01502f73b3de226e90eacc233b1b2,All the spoilers are on Fox News daily.,0,acw,Hejazi Arabic,كل التسريبات على فوكْس نيوز يومياً.
eng_82b0ce472431c693121d28f3911fddc6,Also Kamala Harris speech on the same subject?,0,arz,Egyptian Arabic,وكمان خطبة كامالا هاريس عن نفس الموضوع؟
eng_946226acf0537676a616b18c8a785641,America First Republicans appear in court as infighting,0,ar,Standard Arabic,«أمريكا أولاً» الجمهوريون يظهرون في المحكمة بينما تنشب خلافات داخلية
eng_77ef9da470d3894f230a3b41cc967ab8,American Legion 102 Presents Service Awards,0,acw,Hejazi Arabic,فِرْقَة الرِّيعَة الأَمْرِيكِيَّة 102 تُقَدِّم جَوَائِز الخِدْمَة
eng_a10a770ff6910ce487c6f6b37ee8c6f5,American legislation sanctions cotton and goods produced in Xinjiang and American legislation sanctions procurement boycotts of Israel,0,acm,Iraqi Arabic,التشريعات الأمريكية تفرض عقوبات على القطن والسلع المنتجة في شينجيانغ والتشريعات الأمريكية تفرض عقوبات على مقاطعات الشراء من إسرائيل
eng_0499ce03f51dfef12815367906990389,"Amid ceasefire push, Palestinians released from Israeli jails bear mental, physical scars @URL",0,acw,Hejazi Arabic,فِي خِضَمّ دَفْعَة لِلهُدْنَة، الفِلَسْطِينِيّين الّلي تَراجَعُوا مِن سُجُون إِسْرَائِيل مَحْمُولِين بِجِرَاح نَفْسِيَّة وَجِسْمِيَّة @URL
eng_7b4831d3ada5ea2494ed758f198061c2,"Amid Challenges, Israeli Basketball Team Plays with a",0,acw,Hejazi Arabic,في وسط التحديات، فريق كرة السلة الإسرائيلي يلعب بـ
eng_f98d20b1bc0f244de1f166dec050065e,"Amid the Ukraine war, are sanctions against Russia working?",0,ar,Standard Arabic,في خضم حرب أوكرانيا، هل تُجدي العقوبات المفروضة على روسيا نفعًا؟
eng_bc72f67e4eb7d378ca4aff6a9126dc15,anchors know Donald Trump lost the,0,apc,North Levantine Arabic,المذيعين بيعرفوا إن دونالد ترامب خسر الانتخابات
eng_1f88a3cdadaebea347d3aab2e6ef388a,and a hangar with US military aid paid for by US taxpayers,0,ar,Standard Arabic,وحظيرة طائرات تحتوي على مساعدات عسكرية أمريكية ممولة من دافعي الضرائب الأمريكيين
eng_a7beb0cb3b45eb18195c4558a1fcbc03,"And as far as your gun control, Chicago knows gun control..",0,ayn,Yemeni Arabic,وبالنسبة للتحكم في السلاح عندكم، شيكاغو تعرف عن التحكم في السلاح.
eng_68a5450d40e3d737fb2161accb9afba5,and everywhere else they can which is all swing states,0,afb,Gulf Arabic,وفي كل مكان ثاني يقدّرون، اللي هو كل الولايات المتأرجحة
eng_adab7fd04235df00d97745e8be25cdf6,And how about the electoral college bill?,0,apc,North Levantine Arabic,وشو بالنسبة لمشروع قانون المجمع الانتخابي؟
eng_0e234592d9f16c6e80cafaf3e6aa7478,And refused to allow DOJ election monitors into polling places!,0,ar,Standard Arabic,ورفض السماح لمراقبي وزارة العدل بدخول مراكز الاقتراع!
eng_dc0f640de4c7b904ea6ad9999198e836,And that has what to do with russian aggression in Ukraine today,0,arz,Egyptian Arabic,وإيه علاقتها بالعدوان الروسي على أوكرانيا النهارده؟
eng_e7c9871f889bd9fdada5be6dd57176bc,"and they wonder why people dont like ""asylum seekers""",0,apc,North Levantine Arabic,"ومن بعدها بتستغرب ليش الناس ما بحبّوا ""طالبي اللجوء"""
eng_74a125429f636e9007b4483fb79c9500,And this is where the radical left and radical right meet.,0,acw,Hejazi Arabic,وهنا يلتقي اليسار الراديكالي مع اليمين الراديكالي.
eng_d71965b877d28e6be452370e6e597730,and what do the asylum seekers say?,0,afb,Gulf Arabic,وش يقولون طالبي اللجوء؟
eng_71cabecb0b9cac7803e158ae544ceb47,And yet you want the US to send military aid to Ukraine. Did you actually read what you just wrote?,0,ayn,Yemeni Arabic,ومع ذلك أنت تريد من أمريكا ترسل مساعدات عسكرية لأوكرانيا. هل قرأت فعلاً اللي كتبتَه للتو؟
eng_92bf8d91b2a606fcdc277d3c99d4c1c9,Andrews Ice Block about Ice Blocks,0,apc,North Levantine Arabic,أندروز بلوك الثلج عن كتل الثلج
eng_e869eecb43b73e596017ec30fbaa3880,Angel Island exhibit explores disenfranchisement of Chinese,0,ar,Standard Arabic,معرض جزيرة الملاك يستكشف حرمان الصينيين من حقوقهم
eng_adefeb1a80d261e898b685989a4ae8bb,Ann Arbor community members protest in of Israeli,0,acm,Iraqi Arabic,أعضاء مجتمع آن أربور يتظاهرون ضد إسرائيل
eng_2e97e25b21652a69377caa25869aeccc,Annelle Sheline Jordan braces as Israeli annexation of West Bank looms responsiblestatecraft.orgisraelannex...,0,acw,Hejazi Arabic,أنيل شيلين جوردان تستعد بينما يلوح في الأفق ضم إسرائيل للضفة الغربية resposiblestatecraft.org اسرائیلاننکس...
eng_f85ddeb4e24a77d881d1a54b148409d7,Another 3 billion in military aid for Ukraine.,0,afb,Gulf Arabic,ثلاثة ملايير دولار إضافية كمساعدة عسكرية لأوكرانيا.
eng_c530b3a0f7114ea1f770ff18cfb1e4a5,"AntiSemitic Hawaii Peace Activists tied to Hamas, Iran",0,acw,Hejazi Arabic,نشطاء سلام هاواي المعادين للسامية مرتبطين بحماس وإيران
eng_459bb6ec53174fb1be021effa8756b76,Antisemitic propaganda group Goyem TV relocates,0,apc,North Levantine Arabic,"مجموعة دعاية معادية للسامية ""جوييم تي في"" تنتقل لمكان جديد"
eng_522ec520df6d2c979cd03cf956048bc3,Antony Blinken gets it exactly right in case against HamasThe Iola,0,apc,North Levantine Arabic,أنتوني بلينكن مصيب تماماً في قضيته ضد حماس — الإيولا
eng_eb97a4d088c782f0bc5346c75684bad1,Any anti second amendment Ukrainians out there?,0,apc,North Levantine Arabic,في حدا من الأوكرانيين ضد التعديل الثاني؟
eng_123a667b076f4c2352f26d136f9766dc,Any reason why LEGAL immigration isnt what were fighting for?,0,ar,Standard Arabic,هل هناك سبب لكون الهجرة القانونية ليست ما نقاتل من أجله؟
eng_be838926af70db3d718b9801e9cbb74e,"anyway, he just leaked it to Breitbart unless you think the FBI would choose Breitbart to leak to",0,ar,Standard Arabic,على أي حال، هو قام بتسريبه إلى برايتبارت إلا إذا كنت تعتقد أن مكتب التحقيقات الفيدرالي سيختار برايتبارت ليقوم بالتسريب إليه
eng_e2b921310e7d1aca16d171ff4dc7de29,AOC and Kamala Harris dont really care.,0,ar,Standard Arabic,إي ओ سي وكامالا هاريس لا يهتمان حقًا.
eng_19a77f56099d47b2117ba9e2fdbbe575,AOC slams GOP for criticizing Bowman over fire alarm,0,afb,Gulf Arabic,آلكوكرين-أوكايو/آي او سي تنتقد الجمهوريين لأنهم هاجموا بومان بسبب إنذار الحريق
eng_a832d19fbcd38e84c863487cdf3179ef,"Appalling decision by Robert Fico to visit Putin. Europe must stand united against Russian aggression, not suck up to authoritarians. @URL",0,arz,Egyptian Arabic,قرار فظيع من روبرت فيكو إنه يزور بوتين. أوروبا لازم تكون موحدة ضد العدوان الروسي، مش تطبطب على السلطويين. @URL
eng_1e18fff0ecdf9cc7e28d64af08b1f040,Appeals court rules for Evergreen teacher who wore MAGA,0,apc,North Levantine Arabic,"محكمة الاستئناف حكمت لصالح معلّم/معلّمة إيفرغرين اللي لبس قبعة ""خلي أمريكا عظيمة"""
eng_3f14d410190f6b17b58a3fcfe15b0167,are we still pretending NATO expansion is not part of the balanced take on the situation?,0,ary,Maghrebi Arabic,واش مازال كنديرو بحال إلى توسيع الناتو ماشي جزء من النظرة المتوازنة للوضع؟
eng_60d5340f3fe3ad38cbe69d0019e24804,Are you suggesting by disallowing humour andor crisps we will solve the middle east crisis?,0,arz,Egyptian Arabic,هل بتقترح إننا بمنع الفكاهة والشيبسي هنحل أزمة الشرق الأوسط؟
eng_c293de05d8d79ae40f0dc6da10c5a962,Arizona Republicans formally oppose new Grand Canyon,0,apc,North Levantine Arabic,الجمهوريين بأريزونا بيعترضوا رسميًا على إعلان غراند كانيون الجديد
eng_130af2a4289c06845e7e748072b7b4d0,Arizonans in Israel bear witness to Israelis scariest time,0,acw,Hejazi Arabic,أريزونيين في إسرائيل يشهدون أفظع وقت للإسرائيليين
eng_d7a3979eac6a70a21c5486ad58018818,Armstrong voter registration tables leaves students satisfiedThe GeorgeAnne,0,arz,Egyptian Arabic,"جداول تسجيل الناخبين في أرمسترونج تترك الطلاب راضيين
جورج آن"
eng_f4d6381e76b8fbbf66bf6a7af5883dfa,Arrest staff Leonardo for election fraud,0,ar,Standard Arabic,اعتقلوا الموظف ليوناردو بتهمة تزوير الانتخابات
eng_633a55964000cf23bbdd893159b68636,Arresting Donald Trump Could Be Great for DWAC,0,arz,Egyptian Arabic,اعتقال دونالد ترامب ممكن يكون حاجة كويسة لـ DWAC
eng_374418ff7afc4a0fcf73eb0a61770a4a,Articles of impeachment. Thats what you need to do.,0,arz,Egyptian Arabic,مواد العزل. ده اللي محتاج تعمله.
eng_cd735681631e98cca523989e2e90df5b,Artsakh refugees not granted Armenian citizenship,0,ary,Maghrebi Arabic,لاجئين أرتساخ ما عطاوهملهم الجنسية الأرمنية
eng_20b929f35f9ea5e34d49d7e2c9e5bd8c,"As IDF advances in Gaza, Hamas chief Haniyeh claims",0,acw,Hejazi Arabic,مع تقدم جيش دفاع إسرائيل في غزة، زعيم حماس هنية يزعم
eng_84f3b46f466b47646a079d96f985860b,"As Israel ends 2day West Bank offensive, Palestinian",0,afb,Gulf Arabic,مع انتهاء إسرائيل للهجوم على الضفة الغربية اليوم، فلسطينيٌّون
eng_bfea7af0ee8c6a5a3e38d93bfc781f87,"As Maryland GOP seeks to rebuild, former leaders feel",0,ayn,Yemeni Arabic,بينما الحزب الجمهوري في ماريلاند يسعى لإعادة البناء، القادة السابقون يشعرون بذلك
eng_7990df0af2252017713eb61703d3048e,As well as in unvaccinated Red states.,0,acw,Hejazi Arabic,وكمان في الولايات الحمراء اللي ما تلقّحوا
eng_c8b77f04bad5d1ffc974c50521422b2e,Ashland Boy Bonds with Long-Awaited Service Dog,0,arz,Egyptian Arabic,ولد من آشلاند بيتآلف مع كلب خدمة كان مستنيه من زمان
eng_db3a8af16f9017b81cfeadb7935f7519,ASU Jewish Studies gives context to IsraeliPalestinian,0,ayn,Yemeni Arabic,دراسات يهودية بجامعة أريزونا توفر سياق للصراع الإسرائيلي–الفلسطيني
