configuration,text,true_label,predicted_label,true_class,predicted_class,error_type,text_length,word_count
Config 1: Winner from R1 (Baseline),والله يا دكتور فقدان امتيازات حواجز التشليح وتجارة الكبتاغون والسمسرة علي ارواح المعتقلين صعب ,1,0,Positive,Negative,False Negative,94,14
Config 1: Winner from R1 (Baseline),"بنفس اسلوب مجزرة بورسعيد 
اهالي الكنيسة لما النار اشتعلت جريوا علي ابواب النجاة لقوها مقفولة 
فكر لبرهة كده 🤔🤔🤔🤔🤔",1,0,Positive,Negative,False Negative,113,19
Config 1: Winner from R1 (Baseline),النتن ياهو سيوقع صاغرا علي الاتفاق للمرحلة الثانية.اما تصريحاته فهي تعبير عن خوفه علي مصيره بعد نهاية الحرب,0,1,Negative,Positive,False Positive,107,18
Config 1: Winner from R1 (Baseline), انا مستغربة انه بيتكلم عن الاغتصاب عادي فشخ فعلا 🙆🏻‍♀️ يعني كان المفروض الواحدة تغتصب و تروح تحضر الفطار عادي بعدها,1,0,Positive,Negative,False Negative,116,21
Config 1: Winner from R1 (Baseline)," القاعدة الاولي : الراجل ميمدش ايدة ع واحدة ست 
القاعدة التانية : لو ست مدت ايدها ع راجل متبقاش ست",1,0,Positive,Negative,False Negative,98,20
Config 1: Winner from R1 (Baseline), شوي بحث في يوتوب عن اعضاء الماسونية والمس الشيطاني لجميع اعضاءها وسيطره والتحكم في كل تصرفاتهم,0,1,Negative,Positive,False Positive,95,16
Config 1: Winner from R1 (Baseline),انتبهي القمر يجوع وياكل جزره وتغرقين 😂,1,0,Positive,Negative,False Negative,38,7
Config 1: Winner from R1 (Baseline),مقاس حذاءي 43 ووجهك مقاسه 49 حتي حذاءي طلع احلي منك,1,0,Positive,Negative,False Negative,51,11
Config 1: Winner from R1 (Baseline),"طيب بس هنه يبطلو ينزلو بوستات وصور مستفزة وفاضحة الجمهور ببطل يعلق.
علي مستوي الصور الهابطة بتكون التعليقات هابطه متلها ، والراقي والمحترم ما حد بقدر يعلق بشي سلبي",1,0,Positive,Negative,False Negative,163,29
Config 1: Winner from R1 (Baseline),صحيح هذا قوات افرزتها حرب ٩٤ وهي قوات احتلال   ويجب انهاء الاحتلال لاجل تستمر الوحده  لاتوجد وحده بوجود احتلال,0,1,Negative,Positive,False Positive,110,19
Config 1: Winner from R1 (Baseline)," لانهم كانوا يعيشون المغزي الحقيقي من التعدد
اما الان تغير الوضع يحبون التعدد للمتعة فقط
الا من رحم ربي",0,1,Negative,Positive,False Positive,103,19
Config 1: Winner from R1 (Baseline),"مشاهد العنف الواقعي اللي بتنشر ع مواقع التواصل الاجتماعي مقصودة ونتيجة تعرض البشر لها مش حلوة ف المستقبل ع المجتمع والاسرة والنفس ..
لما تعرف ان الفيديو فيه جريمة ماتفتحهوش وامنع نفسك عشان انت هتتاذي جامد وكل اللي حواليك كمان ..",1,0,Positive,Negative,False Negative,228,41
Config 1: Winner from R1 (Baseline),الله ينصرك يا بطله والله رغده اشجع من ميت رجل,1,0,Positive,Negative,False Negative,45,10
Config 1: Winner from R1 (Baseline),بس الله ليستر بكاس الخليج شراح نشوف من نماذج مادام المحترفين ميلعبون راح نشوف عطلات دوري العراقي كلها وجيب ليل وسمع عتابه,0,1,Negative,Positive,False Positive,121,22
Config 1: Winner from R1 (Baseline),"الاخت #مايا_زيادة تتحرر من ""المنفي"" وتكشف رحلة ""الصلب"" من #جنوب_لبنان الي #ايطاليا: كنيستنا فيها عفن",0,1,Negative,Positive,False Positive,100,15
Config 1: Winner from R1 (Baseline),"  تشوف 😂
صدقني لو واحد من ذول الشيوخ طبال لاردوغان مهما كانت عيوبه ماراح يتكلمون عنه",0,1,Negative,Positive,False Positive,84,16
Config 1: Winner from R1 (Baseline),"اللي يشتهي طفلة يباة مريض نفسي ..بيدوفيلي حقير .
شاف فيها اية اثار غرايزة الحقيرة ؟",0,1,Negative,Positive,False Positive,83,16
Config 1: Winner from R1 (Baseline),"في ايام الكلب المخلوع كانت تصاغ الاخبار كانها انجازات شخصية له يقولون :
"" بتوجيه من السيد الرءيس بشار الاسد "" .. يكون رفع سعر البطاطا المقلية وخفض سعر البصل",1,0,Positive,Negative,False Negative,156,30
Config 1: Winner from R1 (Baseline),هي صراحة كاس الخليج اهم اليكم من كاس العالم ، لانه لا يمكن المقارنة بين ان تكون فاعلا و بين ان تكون علي الهامش متفرجا ، و في احسن الاحوال مفعولا فيك او مفعولا بك,1,0,Positive,Negative,False Negative,161,35
Config 1: Winner from R1 (Baseline),علي راي سعيد صالح الله يرحمه الشغل دا مش عايز شهادة دا عايز ليونة ههههههههههه,0,1,Negative,Positive,False Positive,77,15
Config 1: Winner from R1 (Baseline),يعني كل ماصار شيء طبيعي ليستمر الناس في تحسين المستوي المعيشي، امتلت افواهكم شتما ونعتا في الراسمالية القذرة؟,0,1,Negative,Positive,False Positive,109,18
Config 1: Winner from R1 (Baseline),كيف بدك تعرف الكذبه من كبرها هسا ولد اربع سنين بعرف يقول هيك معلومات ههههه والله مسخره,0,1,Negative,Positive,False Positive,86,17
Config 1: Winner from R1 (Baseline),"كذابين وهن بعرفو انهن كذابين والعالم كله الكذاب برضه بعرف انهن كذبين ومع ذلك بكذبو باعلي صوت
ملا عالم متخنزررر",0,1,Negative,Positive,False Positive,110,20
Config 1: Winner from R1 (Baseline),دخلتوا فيه  مثليه وسوالف خارج الموضوع تماما …  لا اعلم بذلك — وعلي اساس ان الريال  من ذوي الاخلاق والتقوي ويعبدون الله  في الخفاء والعلن — طلعتينا من موضوع الكور,0,1,Negative,Positive,False Positive,161,30
Config 1: Winner from R1 (Baseline),"#الاتحاد_الفتح مازال فريق ابوقمطه يلعب باسلوب الهجمات المرتدة حيلة الضعيف 

لكن لن تدوم طويلا هذا الاسلوب ..",0,1,Negative,Positive,False Positive,108,17
Config 1: Winner from R1 (Baseline),هل ستتم اقالة قانون المالية؟ هذا الصحيح، بعد ما عدا بيها بيها القانون اقالها باش الناس تقول هوا باهي و لكن اذا لم يغير القانون فهو مجرد تلاعب و تخدير لعقول مخدرة,1,0,Positive,Negative,False Negative,161,32
Config 1: Winner from R1 (Baseline),يعين اهلنا تونس يءاخذهم فعله السفهاء امثال السبسي وبشري اللهم ارنا عجاءب قدرتك يحارب الاسلام,0,1,Negative,Positive,False Positive,92,15
Config 1: Winner from R1 (Baseline),هو بنات الناس لعبه في ايديكم ولا اشتريتوها دي ليهم اهل وليهم ناس حسبنا الله ونعم الوكيل في وكل اللي يجي علي واحده ست ولا بنت ربنا ينتقم منه المفروض الواحد قبل ما يتجوز بنته يسال علي اهله وناسه وفصل واصله,0,1,Negative,Positive,False Positive,203,41
Config 1: Winner from R1 (Baseline),بخصوص كلمة (النجمة الايقونية) اي فشرت تنحط هي الكلمة لوحدة رخيصة متل هيفا...حترموا معاني الكلمات لو سمحتوا هي كلمة مقدسة بعدوهن عن وساخة الناس,0,1,Negative,Positive,False Positive,142,24
Config 1: Winner from R1 (Baseline),"المعركة بين جنود الدولة وفلول النظام .
وليس بين السنة والعلوية 
نقطة انتهي 
الوعي .. الوعي ",0,1,Negative,Positive,False Positive,91,16
Config 1: Winner from R1 (Baseline),لو لطيفه توصل لربع صوت فله لجزاءريه انا بنتحر علنا لهلق بعدها لطيفه بتنشز انت فين و فله فين هههه,1,0,Positive,Negative,False Negative,96,20
Config 1: Winner from R1 (Baseline), ولله يا اديب كلنا بنسعي انه محد يتعرض لهيك شي ، ف ما بعرف كيف عقلك صغير لدرجة انك شايف الاغتصاب شيء يرجي,1,0,Positive,Negative,False Negative,105,23
Config 1: Winner from R1 (Baseline), مافيش حل غير المقاطعه    ربنا يكرم والناس تستجيب بس         ,0,1,Negative,Positive,False Positive,61,9
Config 1: Winner from R1 (Baseline),ياهويدي نحيلك الي المقابلة مع الشيخ الشيعي حسين الحسيني البحريني  علي قناة الحدث يوم الثلاثاء للرد عليك,0,1,Negative,Positive,False Positive,103,17
Config 1: Winner from R1 (Baseline),سيرين حبيبتي....منشااااان الله لا تحكي مصري! خليكي عم تحكي لبناني لانو لما تحكي مصري بتكوني متل البنغالي ياللي عم يحكي عربي مكسسسر,0,1,Negative,Positive,False Positive,130,22
Config 1: Winner from R1 (Baseline), 😂😂😂😂😂😂😂 لو كان التضخم طبيعي ما يقدرون يعملوها مو و التضخم بارقام قياسية بالاضافة للانكماش الي في النمو الي عندهم,1,0,Positive,Negative,False Negative,113,20
Config 1: Winner from R1 (Baseline),ع شنو مغروره انتي لو حلوه مثل تفاحة العراق زهور علاء شسوين,1,0,Positive,Negative,False Negative,58,12
Config 1: Winner from R1 (Baseline),ياناااس لحد يسوي لذا الوسخ فااالوو ع قولو 😂😂😂,0,1,Negative,Positive,False Positive,45,9
Config 1: Winner from R1 (Baseline),يا الله شو هلشي المقزز والقرف ماخد بحالو  مقلب باع صدرو شلون منفوخ مقرف جدا,0,1,Negative,Positive,False Positive,75,15
Config 1: Winner from R1 (Baseline),المانيا ضد امريكا انتوا مع مين,0,1,Negative,Positive,False Positive,30,6
Config 1: Winner from R1 (Baseline),"ميسي مزال خاصو كاس الخليج ويرجع اعظم لاعب في التاريخ
كاس الخليج = دورة رمضانية",0,1,Negative,Positive,False Positive,78,15
Config 1: Winner from R1 (Baseline),هذه علي ما اظن لم تتمتع و لم تلعب في صغرها و بالتالي اصيبت بما يسمي بالفرنسي retoure d age,1,0,Positive,Negative,False Negative,90,20
Config 1: Winner from R1 (Baseline),اليهودي جورج سورس صاحب الدولة العميقة ، شخصية مثيرة للجدل،  يتهم بتاثيره علي القرارات الدولية دون منصب رسمي له ..,0,1,Negative,Positive,False Positive,113,20
Config 1: Winner from R1 (Baseline),لو كانت متعلمه ما كان هذا حالها نقطه لسطر,1,0,Positive,Negative,False Negative,41,9
Config 1: Winner from R1 (Baseline),يا عم اقعد ع جنب بلا تدير بلا تتنيل قصدك بتلمها تدفعها فوايد واقساط قبر يلم العفش قال خدمات قال,0,1,Negative,Positive,False Positive,95,20
Config 1: Winner from R1 (Baseline),"فعلا مش بنفوذها ومالها و شكلها 
الملوكية بالاخلاق و الاحترام وبس",0,1,Negative,Positive,False Positive,64,11
Config 1: Winner from R1 (Baseline),عجلوا في سقوط بشار الاسود حتي يتفرغ جند الشام في تحرير الاقصي فمادام الاقصي اسيرا عن اليهود فسوف يتفننون في اذلاله وهدمه,0,1,Negative,Positive,False Positive,120,22
Config 1: Winner from R1 (Baseline),  هودي زعران بلطجية والحركة ما في بصفوفها هيك شي النبيه مثر يكونوا كلن متلو ذو تقوي وايمان وفي سبيل الاعمال الصالحة,0,1,Negative,Positive,False Positive,115,21
Config 2: Very Low LR,"ان بعض نصوص ومواد قانون حظر التطبيع قد شرعت لفتح باب التطبيع لا حظره 
#عدلوا_قانون_التجريم",1,0,Positive,Negative,False Negative,90,15
Config 2: Very Low LR,ان كان يغالط في احداث مصر حتي يلوم الاخوان عمال علي بطال، فما بالك بما يحدث باليمن.,0,1,Negative,Positive,False Positive,83,17
Config 2: Very Low LR,"اخوان شنو لاعب محلي شنو مغترب غير همه كلهم عراقيين لو حته بهاي طاءفيه عمي اذا الاعب المنتخب المغترب اصوله مو عراقيه ميشرفنه يلعبنه لان كره قدم العراق ولادة بل المواهب ومدام المغترب عراقي فهوه والمحلي واحد

",0,1,Negative,Positive,False Positive,206,37
Config 2: Very Low LR,وش قالت قالت رقاصه وانتي وش يا الطقاقه عاشو ترا كلكم  نفس بعض,0,1,Negative,Positive,False Positive,61,13
Config 2: Very Low LR, خسءت ايها المرتد  الوقح  السيد حسن في وضعية. ( قدم سلاحك). للوطن الحبيب  وليس سلم سلاحك،,0,1,Negative,Positive,False Positive,89,16
Config 2: Very Low LR,هي دوابة  جاية عابشر بالغلط يولي روحي ارعي واكلي جت احسن لج يامطمطمة ياطنفسة موزين مكبرين راسج ويحكون معاك,0,1,Negative,Positive,False Positive,106,19
Config 2: Very Low LR,"هو كل المزعييين اللي عايزين يشتهرو يستضيفو الناس اللي شكل دي
كلهم كلاب وهيخربو البلد",0,1,Negative,Positive,False Positive,84,15
Config 2: Very Low LR,بعيدا عن السياسه يعتبر انجاز راءع وكل الليبين فرحانين بيه وبالنسبه للسرقه اكيد فيه لانها ثقافه في كل من يمسك منصب في ليبيا ..,0,1,Negative,Positive,False Positive,125,24
Config 2: Very Low LR,انتي مغروره وصراحه كلامك خرا شبهه وشك ههههههههههههههههههههههههه ال ملكه ال تعالي اقعدي علي دا l,1,0,Positive,Negative,False Negative,95,16
Config 2: Very Low LR, والله نتمني  يكونوا كما  حسن  ظنك عزيزي لكن  تاريخهم  في  خلايا  التجسس  يجعلنا نشك  بهم  دوما,1,0,Positive,Negative,False Negative,95,16
Config 2: Very Low LR,"و الله تستهال وحده مش محترمه و شافت تربيه اصلا
نازله فوقت زي دا و لبس مش لبس اصلا تستحق كل اللي حصل لها و اللي عايز يعارضني يعارض بس ف الاول و الاخر هي مش محترمه",0,1,Negative,Positive,False Positive,161,37
Config 2: Very Low LR,"لم تتطرق الجزيرة الي موسكو ولا الي تل ابيب ولكنها لم تنس القاهرة""وان تصبكم سيءة يفرحوا بها""",0,1,Negative,Positive,False Positive,91,17
Config 2: Very Low LR,كاضم تاريخه وصوته وفنه يشهد اله مو جورج ولا هذولي الحته ما معروف اسمهم,1,0,Positive,Negative,False Negative,70,14
Config 2: Very Low LR,بما ان السعوديه دفعت جبال فلوس عشان تعمل كوره عندها وتبقا نمره واحد في الكوره العربيه وجه الاهلي سيد القاره وزعيم افريقيا هدم كل ده واخد كبيرين السعوديه ورا مصنع الكراسي فطبيعي جعر مصر يبقا هو البطل الحقيقي والاهلي وحش وكخه 👌😃,0,1,Negative,Positive,False Positive,226,42
Config 2: Very Low LR,حتي اما تقدم علي انك تلبس شماس في الكنيسة يوم العيد محدش بيرد مش عايز اشتم,0,1,Negative,Positive,False Positive,74,16
Config 2: Very Low LR,"ههههههههههههههههههههههه تستااااااهل فقعوا راسها وضربوها خلوا عيونها تطير
ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه
الله يبيض وجيههم رجااااااااال ونعم الرجااااااال",1,0,Positive,Negative,False Negative,218,15
Config 2: Very Low LR,والله يا دكتور فقدان امتيازات حواجز التشليح وتجارة الكبتاغون والسمسرة علي ارواح المعتقلين صعب ,1,0,Positive,Negative,False Negative,94,14
Config 2: Very Low LR,النتن ياهو سيوقع صاغرا علي الاتفاق للمرحلة الثانية.اما تصريحاته فهي تعبير عن خوفه علي مصيره بعد نهاية الحرب,0,1,Negative,Positive,False Positive,107,18
Config 2: Very Low LR, انا مستغربة انه بيتكلم عن الاغتصاب عادي فشخ فعلا 🙆🏻‍♀️ يعني كان المفروض الواحدة تغتصب و تروح تحضر الفطار عادي بعدها,1,0,Positive,Negative,False Negative,116,21
Config 2: Very Low LR," القاعدة الاولي : الراجل ميمدش ايدة ع واحدة ست 
القاعدة التانية : لو ست مدت ايدها ع راجل متبقاش ست",1,0,Positive,Negative,False Negative,98,20
Config 2: Very Low LR, شوي بحث في يوتوب عن اعضاء الماسونية والمس الشيطاني لجميع اعضاءها وسيطره والتحكم في كل تصرفاتهم,0,1,Negative,Positive,False Positive,95,16
Config 2: Very Low LR,انتبهي القمر يجوع وياكل جزره وتغرقين 😂,1,0,Positive,Negative,False Negative,38,7
Config 2: Very Low LR,مقاس حذاءي 43 ووجهك مقاسه 49 حتي حذاءي طلع احلي منك,1,0,Positive,Negative,False Negative,51,11
Config 2: Very Low LR,"طيب بس هنه يبطلو ينزلو بوستات وصور مستفزة وفاضحة الجمهور ببطل يعلق.
علي مستوي الصور الهابطة بتكون التعليقات هابطه متلها ، والراقي والمحترم ما حد بقدر يعلق بشي سلبي",1,0,Positive,Negative,False Negative,163,29
Config 2: Very Low LR,صحيح هذا قوات افرزتها حرب ٩٤ وهي قوات احتلال   ويجب انهاء الاحتلال لاجل تستمر الوحده  لاتوجد وحده بوجود احتلال,0,1,Negative,Positive,False Positive,110,19
Config 2: Very Low LR," لانهم كانوا يعيشون المغزي الحقيقي من التعدد
اما الان تغير الوضع يحبون التعدد للمتعة فقط
الا من رحم ربي",0,1,Negative,Positive,False Positive,103,19
Config 2: Very Low LR,"مشاهد العنف الواقعي اللي بتنشر ع مواقع التواصل الاجتماعي مقصودة ونتيجة تعرض البشر لها مش حلوة ف المستقبل ع المجتمع والاسرة والنفس ..
لما تعرف ان الفيديو فيه جريمة ماتفتحهوش وامنع نفسك عشان انت هتتاذي جامد وكل اللي حواليك كمان ..",1,0,Positive,Negative,False Negative,228,41
Config 2: Very Low LR,الله ينصرك يا بطله والله رغده اشجع من ميت رجل,1,0,Positive,Negative,False Negative,45,10
Config 2: Very Low LR,بس الله ليستر بكاس الخليج شراح نشوف من نماذج مادام المحترفين ميلعبون راح نشوف عطلات دوري العراقي كلها وجيب ليل وسمع عتابه,0,1,Negative,Positive,False Positive,121,22
Config 2: Very Low LR,"  تشوف 😂
صدقني لو واحد من ذول الشيوخ طبال لاردوغان مهما كانت عيوبه ماراح يتكلمون عنه",0,1,Negative,Positive,False Positive,84,16
Config 2: Very Low LR,"الدكتورة_وسام_شعيب#
بهدلت نفسها واسرتها واحتمال تخسر مهنتها وكل دة علشان ايه ؟ علشان تنصحي مجتمع متفشي فيه الجهل بفعل فاعل وقله الدين والاخلاق ، وتصارعت عليها ذءاب الميديا من  كل الاطياف المتحررين ورواد المهنه  وكل ادلي بدلوة",1,0,Positive,Negative,False Negative,225,37
Config 2: Very Low LR,"اللي يشتهي طفلة يباة مريض نفسي ..بيدوفيلي حقير .
شاف فيها اية اثار غرايزة الحقيرة ؟",0,1,Negative,Positive,False Positive,83,16
Config 2: Very Low LR,هي صراحة كاس الخليج اهم اليكم من كاس العالم ، لانه لا يمكن المقارنة بين ان تكون فاعلا و بين ان تكون علي الهامش متفرجا ، و في احسن الاحوال مفعولا فيك او مفعولا بك,1,0,Positive,Negative,False Negative,161,35
Config 2: Very Low LR,علي راي سعيد صالح الله يرحمه الشغل دا مش عايز شهادة دا عايز ليونة ههههههههههه,0,1,Negative,Positive,False Positive,77,15
Config 2: Very Low LR,كيف بدك تعرف الكذبه من كبرها هسا ولد اربع سنين بعرف يقول هيك معلومات ههههه والله مسخره,0,1,Negative,Positive,False Positive,86,17
Config 2: Very Low LR,"كذابين وهن بعرفو انهن كذابين والعالم كله الكذاب برضه بعرف انهن كذبين ومع ذلك بكذبو باعلي صوت
ملا عالم متخنزررر",0,1,Negative,Positive,False Positive,110,20
Config 2: Very Low LR,حسام حبيب طالع بيكلمنا عن انه شيرين نجحت في عهده وانها يا عيني كانت مغنية مغمورة قبل ما تتجوزه وهو اصلا مستضيفينه لانه طليق شيرين حسام حبيب محتاج طبيب نفسي يعالجه,1,0,Positive,Negative,False Negative,162,31
Config 2: Very Low LR,"#الاتحاد_الفتح مازال فريق ابوقمطه يلعب باسلوب الهجمات المرتدة حيلة الضعيف 

لكن لن تدوم طويلا هذا الاسلوب ..",0,1,Negative,Positive,False Positive,108,17
Config 2: Very Low LR,هل ستتم اقالة قانون المالية؟ هذا الصحيح، بعد ما عدا بيها بيها القانون اقالها باش الناس تقول هوا باهي و لكن اذا لم يغير القانون فهو مجرد تلاعب و تخدير لعقول مخدرة,1,0,Positive,Negative,False Negative,161,32
Config 2: Very Low LR,يعين اهلنا تونس يءاخذهم فعله السفهاء امثال السبسي وبشري اللهم ارنا عجاءب قدرتك يحارب الاسلام,0,1,Negative,Positive,False Positive,92,15
Config 2: Very Low LR,بخصوص كلمة (النجمة الايقونية) اي فشرت تنحط هي الكلمة لوحدة رخيصة متل هيفا...حترموا معاني الكلمات لو سمحتوا هي كلمة مقدسة بعدوهن عن وساخة الناس,0,1,Negative,Positive,False Positive,142,24
Config 2: Very Low LR,"المعركة بين جنود الدولة وفلول النظام .
وليس بين السنة والعلوية 
نقطة انتهي 
الوعي .. الوعي ",0,1,Negative,Positive,False Positive,91,16
Config 2: Very Low LR,لو لطيفه توصل لربع صوت فله لجزاءريه انا بنتحر علنا لهلق بعدها لطيفه بتنشز انت فين و فله فين هههه,1,0,Positive,Negative,False Negative,96,20
Config 2: Very Low LR, ولله يا اديب كلنا بنسعي انه محد يتعرض لهيك شي ، ف ما بعرف كيف عقلك صغير لدرجة انك شايف الاغتصاب شيء يرجي,1,0,Positive,Negative,False Negative,105,23
Config 2: Very Low LR, مافيش حل غير المقاطعه    ربنا يكرم والناس تستجيب بس         ,0,1,Negative,Positive,False Positive,61,9
Config 2: Very Low LR,ياهويدي نحيلك الي المقابلة مع الشيخ الشيعي حسين الحسيني البحريني  علي قناة الحدث يوم الثلاثاء للرد عليك,0,1,Negative,Positive,False Positive,103,17
Config 2: Very Low LR,احلام شكلها بتاكل الي علي المصرح,0,1,Negative,Positive,False Positive,32,6
Config 2: Very Low LR,سيرين حبيبتي....منشااااان الله لا تحكي مصري! خليكي عم تحكي لبناني لانو لما تحكي مصري بتكوني متل البنغالي ياللي عم يحكي عربي مكسسسر,0,1,Negative,Positive,False Positive,130,22
Config 2: Very Low LR, 😂😂😂😂😂😂😂 لو كان التضخم طبيعي ما يقدرون يعملوها مو و التضخم بارقام قياسية بالاضافة للانكماش الي في النمو الي عندهم,1,0,Positive,Negative,False Negative,113,20
Config 2: Very Low LR,ع شنو مغروره انتي لو حلوه مثل تفاحة العراق زهور علاء شسوين,1,0,Positive,Negative,False Negative,58,12
Config 2: Very Low LR,ياناااس لحد يسوي لذا الوسخ فااالوو ع قولو 😂😂😂,0,1,Negative,Positive,False Positive,45,9
Config 2: Very Low LR,شنو هالغرور الملكة ملكة علي روحهة مو علي الناس اموت منهة ومن الخليج كلة,1,0,Positive,Negative,False Negative,71,14
Config 2: Very Low LR,يا الله شو هلشي المقزز والقرف ماخد بحالو  مقلب باع صدرو شلون منفوخ مقرف جدا,0,1,Negative,Positive,False Positive,75,15
Config 2: Very Low LR,المانيا ضد امريكا انتوا مع مين,0,1,Negative,Positive,False Positive,30,6
Config 2: Very Low LR,البنت عمرها ما كانت بتتعاكس عشان لبسها. البنت بتتعاكس عشان الشخص الوسخ اللي بيشوفها وبيقرر انه ممكن يجرحها ويغلط فيها. المشكلة مش في اللبس. المشكلة ان احنا بنتعامل مع التحرش في مجتمعنا اكنها مشكلة الست,1,0,Positive,Negative,False Negative,201,35
Config 2: Very Low LR,"ميسي مزال خاصو كاس الخليج ويرجع اعظم لاعب في التاريخ
كاس الخليج = دورة رمضانية",0,1,Negative,Positive,False Positive,78,15
Config 2: Very Low LR,هذه علي ما اظن لم تتمتع و لم تلعب في صغرها و بالتالي اصيبت بما يسمي بالفرنسي retoure d age,1,0,Positive,Negative,False Negative,90,20
Config 2: Very Low LR,اليهودي جورج سورس صاحب الدولة العميقة ، شخصية مثيرة للجدل،  يتهم بتاثيره علي القرارات الدولية دون منصب رسمي له ..,0,1,Negative,Positive,False Positive,113,20
Config 2: Very Low LR,لو كانت متعلمه ما كان هذا حالها نقطه لسطر,1,0,Positive,Negative,False Negative,41,9
Config 2: Very Low LR,يا عم اقعد ع جنب بلا تدير بلا تتنيل قصدك بتلمها تدفعها فوايد واقساط قبر يلم العفش قال خدمات قال,0,1,Negative,Positive,False Positive,95,20
Config 2: Very Low LR,عجلوا في سقوط بشار الاسود حتي يتفرغ جند الشام في تحرير الاقصي فمادام الاقصي اسيرا عن اليهود فسوف يتفننون في اذلاله وهدمه,0,1,Negative,Positive,False Positive,120,22
Config 2: Very Low LR,  هودي زعران بلطجية والحركة ما في بصفوفها هيك شي النبيه مثر يكونوا كلن متلو ذو تقوي وايمان وفي سبيل الاعمال الصالحة,0,1,Negative,Positive,False Positive,115,21
Config 3: Mid-Low LR,"ان بعض نصوص ومواد قانون حظر التطبيع قد شرعت لفتح باب التطبيع لا حظره 
#عدلوا_قانون_التجريم",1,0,Positive,Negative,False Negative,90,15
Config 3: Mid-Low LR,اي انتي لما تتكلمي كانك عم تخري اتعلمي الادب بالاول,0,1,Negative,Positive,False Positive,51,10
Config 3: Mid-Low LR,ان كان يغالط في احداث مصر حتي يلوم الاخوان عمال علي بطال، فما بالك بما يحدث باليمن.,0,1,Negative,Positive,False Positive,83,17
